Country;Artist;Song;Language;Pl.;Year;sentiment_score;index_col;track.id_x
Ireland;ryan dolan;only love survives;English;26.0;2013;5.7370370370370365;1292;4LVHVbWMCthAmnN9RJOqip
Cyprus;despina olympiou;an me thimase;Greek;;2013;6.094285714285715;1293;52oRvlSgzCBPPtbpO59cdM
Belgium;roberto bellarosa;love kills;English;12.0;2013;5.044137931034482;1294;0FyoA6hNmCcGN5JKx8Rddp
Serbia;moje 3;ljubav je svuda;Serbian;;2013;5.940714285714285;1295;5ZccXZwWJzQl0VC7NvJXYa
Latvia;per;here we go;English;;2013;5.564444444444444;1296;0RepG3Y0tJz5os8h38xkaD
San Marino;valentina monetta;crisalide;Italian;;2013;5.968421052631578;1297;3CwS3gyTxTDx73pYii5pPs
Macedonia;esma & lozano;pred da se razdeni;Macedonian/Romani;;2013;6.432631578947368;1298;1NsmxRrhvkV2ccrnsgoafc
Azerbaijan;farid mammadov;hold me;English;2.0;2013;6.382962962962962;1299;2Xfav1hvYvP7pBAumIQLxC
Finland;krista siegfrids;marry me;English;24.0;2013;5.817941176470587;1300;0lI9LRra3k2RAYrNO0Htcc
Malta;gianluca;tomorrow;English;8.0;2013;6.156206896551724;1301;2bAxsFjz7oWBETBdC0o6sy
Bulgaria;elitsa todorova & stoyan yankoulov;samo shampioni;Bulgarian;;2013;6.51;1302;
Iceland;eythor ingi;ég á líf;Icelandic;17.0;2013;6.2048000000000005;1303;4Q0yu5ez3b3zFaTLNtdduq
Greece;koza mostra feat. agathon iakovidis;alcohol is free;Greek (title English);6.0;2013;5.646666666666666;1304;10qLaDfdaLTN14Z29guHBD
Israel;moran mazor;rak bishvilo;Hebrew;;2013;5.994545454545454;1305;
Armenia;dorians;lonely planet;English;18.0;2013;5.9229629629629645;1306;
Hungary;byealex;kedvesem;Hungarian;10.0;2013;6.363809523809526;1307;4TehWvsJK8Inb4esGxtNDc
Norway;margaret berger;i feed you my love;English;4.0;2013;5.642608695652174;1308;6kt9lwIUtDmU813PmJkfSf
Albania;adrian lulgjuraj & bledar sejko;identitet;Albanian;;2013;6.168965517241379;1309;5tl6hpAme7TmBnweESURZ5
Georgia;nodi tatishvili & sophie gelovani;waterfall;English;15.0;2013;6.48;1310;7IJrsaXy9L1WaYzrUK9QcX
Switzerland;takasa;you and me;English;;2013;5.163200000000001;1311;1ivQr2N0V79rFMj8CDZVlr
Romania;cezar;it's my life;English;13.0;2013;6.263870967741934;1312;1RCLwB4gj44JWKtjn0Kwok
France;amandine bourgeois;l'enfer et moi;French;23.0;2013;5.2090000000000005;1313;3mwZp69BqdKAkstJQyrcNd
Spain;esdm;contigo hasta el final;Spanish (English);25.0;2013;6.227368421052631;1314;3c7ZuQpaivW9f4sQVOvfeU
Germany;cascada;glorious;English;21.0;2013;5.631612903225806;1315;1UqzLT0ZGWXD9K5npit5Nr
United Kingdom;bonnie tyler;believe in me;English;19.0;2013;5.325;1316;6CEcpl4x9xv0KPe6o2xiDA
Sweden;robin stjernberg;you;English;14.0;2013;5.906363636363636;1317;0apqDPK578iRoiR9VIRA0a
Italy;marco mengoni;l'essenziale;Italian;7.0;2013;5.854814814814814;1318;5klQSk2bLb0U3vnvGJUZf4
Armenia;aram mp3;not alone;English;4.0;2014;5.324705882352942;1319;1LMUArwQoJRXXkppeGV10D
Latvia;aarzemnieki;cake to bake;English (Latvian);;2014;6.310588235294117;1320;5Qd68IgarqOFsNiLoKudmu
Estonia;tanja;amazing;English;;2014;5.681176470588236;1321;3St8xzBfZyXQ6NMgH1bYQZ
Sweden;sanna nielsen;undo;English;3.0;2014;4.496;1322;3XhlY1x0LcIyHpZJB1g6WS
Iceland;pollapönk;no prejudice;English;15.0;2014;6.109999999999999;1323;1ngs4DWeS9IvAoAApuXUku
Albania;hersi;one night's anger;English;;2014;5.444375;1324;1e7hVISj3bDzGrknIRJCA0
Russia;tolmachevy sisters;shine;English;7.0;2014;6.169696969696971;1325;7sMNPesOk3HjzpBrNWH3W7
Azerbaijan;dilara kazimova;start a fire;English;22.0;2014;5.624;1326;3xTzDgXwnvIR5G3Qzd8aQP
Ukraine;mariya yaremchuk;tick-tock;English;6.0;2014;5.8757142857142854;1327;4kIheg2ykamUNNrSxL7t56
Belgium;axel hirsoux;mother;English;;2014;6.093125;1328;2hzIMz6NUX0oOlLCtcnXBn
Moldova;cristina scarlat;wild soul;English;;2014;5.725625000000001;1329;5jGzOHFqzgyhxdFWZRxRaR
San Marino;valentina monetta;maybe;English;24.0;2014;6.061951219512194;1330;0fszknek4oiF2xdsbLNOqJ
Portugal;suzy;quero ser tua;Portuguese;;2014;6.964761904761905;1331;508BVVNeDCgoI6fFagSrez
Netherlands;the common linnets;calm after the storm;English;2.0;2014;5.067500000000001;1332;3mWdxSsbIK45Brors2XWR1
Montenegro;sergej ćetković;moj svijet;Montenegrin;19.0;2014;6.418823529411766;1333;1bAMRpm6JOcWrt5CUUOeNw
Hungary;andrás kállay-saunders;running;English;5.0;2014;5.604800000000001;1334;2R5o133TZKMcOX5I0RQn9L
Malta;firelight;coming home;English;23.0;2014;5.963333333333334;1335;0kekgA2kWSWkCoqaeRuxpk
Israel;mei finegold;same heart;English/Hebrew;;2014;5.254285714285715;1336;379KepiioggdYFJJFriwVp
Norway;carl espen;silent storm;English;8.0;2014;5.404285714285714;1337;4FaLpfPfxHBPA0LJcSsrYA
Georgia;the shin & mariko;three minutes to earth;English;;2014;6.359047619047617;1338;1eVJ6Mke1dKBGxFXELqM6Y
Poland;donatan & cleo;my słowianie – we are slavic;Polish/English;14.0;2014;6.450400000000001;1339;
Austria;conchita wurst;rise like a phoenix;English;1.0;2014;5.78952380952381;1340;1ijX03QOR6a1wI322HifSV
Lithuania;vilija;attention;English;;2014;6.51375;1341;3Irt43mvuVwozBsllZlKCf
Finland;softengine;something better;English;11.0;2014;6.022352941176471;1342;0i99ZWeMYZalyfqFvoj3ob
Ireland;can-linn feat. kasey smith;heartbeat;English;;2014;5.98;1343;2v97ToeLY1nEiMJLnAM4MV
Belarus;teo;cheesecake;English;16.0;2014;5.755384615384615;1344;4g7dROdE3ceRrBqmXR5TNF
Macedonia;tijana;to the sky;English;;2014;6.293333333333335;1345;3vp4Ai05zle4jOd73MxVj7
Switzerland;sebalter;hunter of stars;English;13.0;2014;5.4976666666666665;1346;5pX8S6xCA08WHIbddDnGRP
Greece;freaky fortune feat. riskykidd;rise up;English;20.0;2014;5.917857142857144;1347;0HmQrQ3whzQgMTshgDR2F5
Slovenia;tinkara kovač;round and round;English/Slovene;25.0;2014;5.715789473684211;1348;2Z7hewbsty1juz2S1qltoV
Romania;paula seling  & ovi;miracle;English;12.0;2014;6.522105263157894;1349;3qowUu4ZtCxUEkGvm7ApyU
Germany;elaiza;is it right;English;18.0;2014;5.925416666666666;1350;4BxMRmdcUYW1sBHc1Nv9jo
France;twin twin;moustache;French (English/Spanish);26.0;2014;6.034814814814815;1351;6ILOO5bZA9x6zanAMO0hKr
Italy;emma marrone;la mia città;Italian (English);21.0;2014;5.428333333333333;1352;
Spain;ruth lorenzo;dancing in the rain;English/Spanish;10.0;2014;6.2323529411764715;1353;3ewuFERsiKOq5noSzJl6Uh
Denmark;basim;cliché love song;English;9.0;2014;6.559642857142859;1354;3V9489pkfvGQyGUzerfI7B
United Kingdom;molly;children of the universe;English;17.0;2014;5.547333333333333;1355;7wn3r1q1yLf9FlHO4HpGQi
Moldova;eduard romanyuta;i want your love;English;;2015;6.09875;1356;438rvMKzU8eMENdVxCI30n
Armenia;genealogy;face the shadow;English;16.0;2015;5.595;1357;
Belgium;loïc nottet;rhythm inside;English;4.0;2015;5.877222222222223;1358;3O2MsMZHCgSbRGEca5ML1N
Netherlands;trijntje oosterhuis;walk along;English;;2015;6.308333333333334;1359;0z3UNXI7HBMpAX7p8xg2pu
